0 1747 STOKES AVE SW, ATLANTA, GA, 30310 
1 2132 PANSTONE DR, MARIETTA, GA, 30060 
2 6083 LEVERETT DR, LITHONIA, GA, 30038 
3 185 LOFTY EAGLE LN, FAYETTEVILLE, GA, 30214 
4 2026 RIVER HEIGHTS WALK SE, MARIETTA, GA, 30067 
5 2860 SPRINGFIELD CT SW, COLLEGE PARK, GA, 30349 
6 765 N PARKWOOD RD, DECATUR, GA, 30030 
7 2651 LOIS LN SE, ATLANTA, GA, 30315 
8 629 WOODS DR NW, ATLANTA, GA, 30318 
9 7280 GLISTEN AVE NE, SANDY SPRINGS, GA, 30328 
10 2111 SHADWELL WAY, LAWRENCEVILLE, GA, 30043 
11 Powers Ferry Road Southeast, Marietta, Cobb County, Georgia, 30067, United States 
12 16180 BIRMINGHAM HWY, ALPHARETTA, GA, 30004 
13 220 SEMEL CIR, ATLANTA, GA, 30309 
14 582 WARRENTON PL, SUGAR HILL, GA, 30518 
15 80 HOMESTEAD PL, REX, GA, 30273 
16 3342 WOODASH LN, BUFORD, GA, 30519 
17 304 MOUNT ZION RD SW, HAPEVILLE, GA, 30354 
18 2535 WOODLAND DR, KENNESAW, GA, 30152 
19 1404 PEACHTREE PKWY, CUMMING, GA, 30041 
20 818 CORK OAK LN, LAWRENCEVILLE, GA, 30045 
21 4217 BRADEN LN NW, KENNESAW, GA, 30144 
22 293 HOWELL DR SW, ATLANTA, GA, 30331 
23 3094 FRANCINE DR, DECATUR, GA, 30033 
24 1165 TRIBUTARY WAY, DACULA, GA, 30019 
25 683 FARADAY CIR, SUWANEE, GA, 30024 
26 4033 STONEMONT DR SW, LILBURN, GA, 30047 
27 2844 ARROW CREEK DR, CHAMBLEE, GA, 30341 
28 3065 CONRAD DR SW, LAWRENCEVILLE, GA, 30044 
29 575 BRIARWOOD RD, TYRONE, GA, 30290 
30 432 AUBURN RD, AUBURN, GA, 30011 
31 2540 MANOR CREEK CT, CUMMING, GA, 30041 
32 2824 BROOKFORD LN, ATLANTA, GA, 30331 
33 5060 WHITEWATER DR, PEACHTREE CORNERS, GA, 30092 
34 1015 ROCK CREEK LN, NORCROSS, GA, 30093 
35 2943 GOVERNORS CT, MARIETTA, GA, 30066 
36 2731 HARPER WOODS DR, MARIETTA, GA, 30062 
37 101 CENTENNIAL DR, PEACHTREE CITY, GA, 30269 
38 5001 COMANCHE CT NW, LILBURN, GA, 30047 
39 2269 TILSON CIR, DECATUR, GA, 30032 
40 3635 WESTBROOK DR, SMYRNA, GA, 30082 
41 262 ASCOTT LN, WOODSTOCK, GA, 30189 
42 8857 MAIN ST, WOODSTOCK, GA, 30188 
43 6533 SILK TREE POINTE, BRASELTON, GA, 30517 
44 1897 8TH ST, ATLANTA, GA, 30341 
45 684 GARY RD NW, ATLANTA, GA, 30318 
46 1103 BOOTH CT SW, MARIETTA, GA, 30008 
47 109 HILLTOP CIR, AUBURN, GA, 30011 
48 524 COMMERCE DR, DECATUR, GA, 30030 
49 75 DAVIS MILL CT, LAWRENCEVILLE, GA, 30044 
50 1719 CHATEAU DR, DUNWOODY, GA, 30338 
